num_consumers,num_goods,type_market,noise_factor,eps,gt_welfare,emp_welfare,max_regret_low_prices_first,max_regret_high_prices_first,max_regret_low_prices_second,max_regret_high_prices_second
5,5,uniform_random_distribution,1.0,0.2,42.730597734292594,42.734361038520106,0.002081184610353226,0.0,0.004877998374784198,0.004878038374783955
5,5,uniform_random_distribution,1.0,0.2,38.16283444395019,38.17346164271159,0.003895534875723694,0.002559463908410109,0.005517447171682122,0.005517447171682122
5,5,uniform_random_distribution,1.0,0.2,37.930584718250714,37.92593200873559,0.011207370753885337,0.0028657573708104067,0.0,0.00593658772934802
5,5,uniform_random_distribution,1.0,0.2,39.990654010610555,39.99435328143116,0.0,0.006268835235720971,0.00466482710392313,0.004664867103922887
5,5,uniform_random_distribution,1.0,0.2,43.50616764502052,43.50333466770593,0.0,0.0,0.0034395660937622807,0.0003388528160392923
5,5,uniform_random_distribution,1.0,0.2,32.185369377476384,32.18675468523451,0.0021975558648894555,0.001559968377963017,0.007174427227127467,0.007174347227128841
5,5,uniform_random_distribution,1.0,0.2,42.09211708815729,42.088678994865006,0.0010555700848744465,0.0010556300848731937,0.003477135756770444,0.0034772057567700188
5,5,uniform_random_distribution,1.0,0.2,39.66273490106515,39.66584727055081,0.0,0.0,0.0005995756321439671,0.0
5,5,uniform_random_distribution,1.0,0.2,38.789643685394665,38.805044924408186,0.0006218562419082474,0.0006219162419087709,0.005689976510961259,0.005689956510960492
5,5,uniform_random_distribution,1.0,0.2,38.611188441509306,38.60046200385367,0.006668471453720848,0.00666857145372024,0.0,0.0
5,5,uniform_random_distribution,1.0,0.2,40.7511607374607,40.74989208105494,0.003997838022225864,0.003997808022226046,0.0047135979830521535,0.004713587983052214
5,5,uniform_random_distribution,1.0,0.2,37.0652020863899,37.066514301955536,0.004442003596895283,0.004796494955456865,0.004680273499320542,0.001445567187816188
5,5,uniform_random_distribution,1.0,0.2,42.38547784398176,42.36853228955453,0.004591023093010627,0.003909554396292592,0.0,0.0
5,5,uniform_random_distribution,1.0,0.2,37.57130641304755,37.57269076557393,0.0014439369061394203,0.0014439969061390556,0.00222647351541827,0.004563491243787965
5,5,uniform_random_distribution,1.0,0.2,38.63597156714134,38.64746058003968,0.004525766438352008,0.0,0.015006677061935925,0.015006617061935401
5,5,uniform_random_distribution,1.0,0.2,40.73073588555643,40.73776912091118,0.0024655814560885503,0.0024655814560885503,0.005543019552877837,0.005742447813954499
5,5,uniform_random_distribution,1.0,0.2,32.31712589084976,32.30862770503184,0.004104102994438641,0.006424770131187252,0.007150126846230176,0.0
5,5,uniform_random_distribution,1.0,0.2,41.22445164322153,41.22870048642852,0.0,0.0010621047059924393,0.005630982565285159,0.00269065320033679
5,5,uniform_random_distribution,1.0,0.2,39.01139264079291,39.01498240564193,0.0,0.00010835900198724602,0.0011795957491838038,0.0011796257491845097
5,5,uniform_random_distribution,1.0,0.2,36.718426155173006,36.72213131625391,0.00030313953163574325,0.00030312953163580403,0.01241229459481108,0.004853374695810153
5,5,uniform_random_distribution,1.0,0.15,38.615815819361416,38.61190442955519,0.0023187389782082235,0.0023187389782077794,0.0028926572282843566,0.0019364835414652504
5,5,uniform_random_distribution,1.0,0.15,41.96488136012593,41.9715073913232,0.0,0.0,0.005109846714796085,0.002307271318046311
5,5,uniform_random_distribution,1.0,0.15,42.07038200881563,42.0668010849962,0.005644998911185084,0.0014824363304812849,0.0,0.003644182236778093
5,5,uniform_random_distribution,1.0,0.15,40.1762266240787,40.17229898879416,0.004060589924376856,0.004060589924375968,0.0005146396791895214,0.0003430516113356319
5,5,uniform_random_distribution,1.0,0.15,40.76301161653144,40.76178986825155,0.0027688213090035774,0.0,0.0029680071276745323,0.0029680071276745323
5,5,uniform_random_distribution,1.0,0.15,41.71208722805935,41.71264183295049,0.0006043453168356194,0.0006043453168365076,0.0029986779872537284,0.0028969784315808766
