num_consumers,num_goods,type_market,noise_factor,target_eps,final_epsilon,total_num_samples,total_pruned_0,total_pruned_1,total_pruned_2
5,5,uniform_random_distribution,2.0,0.2,0.15408368663899324,724375,4,3,3
5,5,uniform_random_distribution,2.0,0.2,0.15268292528538827,489444,12,2,1
5,5,uniform_random_distribution,2.0,0.2,0.15326741537940075,567754,10,2,1
5,5,uniform_random_distribution,2.0,0.2,0.15237714124404972,495038,11,1,4
5,5,uniform_random_distribution,2.0,0.2,0.15237714124404972,467070,12,2,2
5,5,uniform_random_distribution,2.0,0.2,0.15104971221961536,383167,13,0,7
5,5,uniform_random_distribution,2.0,0.2,0.1535471249943011,623690,8,2,2
5,5,uniform_random_distribution,2.0,0.2,0.15268292528538827,523006,10,2,3
5,5,uniform_random_distribution,2.0,0.15,0.1147375163071748,969505,10,2,2
5,5,uniform_random_distribution,2.0,0.15,0.1147375163071748,949618,10,3,1
5,5,uniform_random_distribution,2.0,0.15,0.11495345159128423,959560,13,0,0
5,5,uniform_random_distribution,2.0,0.15,0.11428572920249264,820351,13,1,2
5,5,uniform_random_distribution,2.0,0.15,0.1145150729994529,949619,8,4,3
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,591651,12,6,2
5,5,uniform_random_distribution,2.0,0.15,0.1145150729994529,840238,13,2,0
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,512101,16,4,0
5,5,uniform_random_distribution,2.0,0.15,0.11428572920249264,750745,16,0,0
5,5,uniform_random_distribution,2.0,0.15,0.11380458481255143,611535,18,0,0
5,5,uniform_random_distribution,2.0,0.15,0.11380458481255143,611535,18,0,0
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,531989,14,6,0
5,5,uniform_random_distribution,2.0,0.15,0.11428572920249264,850182,12,1,3
5,5,uniform_random_distribution,2.0,0.15,0.1147375163071748,999337,7,5,2
5,5,uniform_random_distribution,2.0,0.15,0.11404905626934289,840239,11,1,5
5,5,uniform_random_distribution,2.0,0.1,0.07619027329308588,1756293,13,3,0
5,5,uniform_random_distribution,2.0,0.1,0.07586951126252559,1375952,18,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1286460,16,1,3
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1062730,20,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07603249177842444,1599682,14,3,0
