num_consumers,num_goods,type_market,noise_scale,eps,gt_welfare,emp_welfare,max_regret_low_prices_first,max_regret_high_prices_first,max_regret_low_prices_second,max_regret_high_prices_second
5,5,uniform_random_distribution,1.0,0.1,5.9241439706356935,5.9233122782539,0.0010081986534078435,0.00164089890909358,0.003627406449573045,0.0
5,5,uniform_random_distribution,1.0,0.1,6.341866113226057,6.336752561022027,0.0034865733617257533,0.0021670854957916985,0.0,0.0
5,5,uniform_random_distribution,1.0,0.1,5.920778421183811,5.920966473072841,0.0013799602178553583,0.0026365855148244854,0.0011084621685376606,5.3723702210906055e-05
5,5,uniform_random_distribution,1.0,0.1,6.798906467389174,6.7985839050019266,0.0,0.0,0.0,0.0
5,5,uniform_random_distribution,1.0,0.1,6.263602132813604,6.265318807904865,0.005110246806573349,0.0051102508065732355,0.00374514467654119,0.0034210714770379624
5,5,uniform_random_distribution,1.0,0.1,6.291056630185109,6.287567676434945,0.0017929256061668397,0.0021580535669285528,0.0011526391982372708,0.0
5,5,uniform_random_distribution,1.0,0.1,5.97892698863017,5.9799668592016815,0.0014476168531922795,0.003632103673014919,0.0019924035558414044,0.0019924035558414044
5,5,uniform_random_distribution,1.0,0.1,6.210729009914123,6.213721290754695,0.0,0.0009981607340852072,0.0010879355239794553,0.001225670969244863
5,5,uniform_random_distribution,1.0,0.1,6.178685932704806,6.182445170606648,0.0,0.0017419445718029891,0.0,0.0
5,5,uniform_random_distribution,1.0,0.1,6.8284564667208105,6.831610031636564,0.0,0.0,0.0003918985869981739,0.005087103650382785
5,5,uniform_random_distribution,1.0,0.1,6.421681279444469,6.417602556214856,0.00028843268093670105,0.0009225547096747277,0.0031620928705303752,0.0
5,5,uniform_random_distribution,1.0,0.1,6.668439298539792,6.669085762657106,6.183911959767308e-05,0.000265160860061453,0.0,0.0017488450957483526
5,5,uniform_random_distribution,1.0,0.1,6.545642601782756,6.5487250246475295,0.0022389123796191512,0.0022388923796190507,0.0007368135425540601,0.0007367835425542424
5,5,uniform_random_distribution,1.0,0.1,7.327564909014394,7.325161980374058,0.0,0.0,0.0,0.0017946842795417695
5,5,uniform_random_distribution,1.0,0.1,6.548753922457948,6.551558288132036,0.00017532249194918137,0.0,0.0041280552887068556,0.004128015288706877
5,5,uniform_random_distribution,1.0,0.1,6.178555173063637,6.178100868352597,0.0015537478197940047,0.002394993844477611,0.00046861580866131014,0.001284946015957411
5,5,uniform_random_distribution,1.0,0.1,6.758256171146644,6.760825010289528,0.0,0.0013049019693681663,0.0007653160495701972,0.0007653760495702766
5,5,uniform_random_distribution,1.0,0.1,6.8151455849010665,6.816073579297707,0.00234190320958394,0.0009981070556237537,0.0,0.00035206287473932285
5,5,uniform_random_distribution,1.0,0.1,6.312613783736218,6.314185882597483,0.0006479350309858134,0.005329160652818965,0.0,0.002019483449945403
5,5,uniform_random_distribution,1.0,0.1,6.571528401148042,6.572615799451987,0.0019259936791746757,0.0,0.0033670707841400027,0.0011105741453123485
5,5,uniform_random_distribution,1.0,0.075,6.712339484259111,6.71280192112852,0.0,0.0,0.0012390243784166088,0.0
5,5,uniform_random_distribution,1.0,0.075,6.849545416733857,6.847015960432233,0.0005525591647468353,0.000530616618021007,0.0,0.0018668771784213778
5,5,uniform_random_distribution,1.0,0.075,6.7607867990006465,6.761197697235036,0.0,0.002206370496319776,0.0013014681963974262,0.0018406142354810973
5,5,uniform_random_distribution,1.0,0.075,6.644880599594859,6.646650723323559,0.0,0.002235941078402748,0.0016997707190706812,0.003922977229551039
5,5,uniform_random_distribution,1.0,0.075,6.557658558387286,6.5592168835105955,0.0004933490509543281,0.0,0.003520863643579064,3.343149129853007e-05
5,5,uniform_random_distribution,1.0,0.075,5.9232220587818825,5.9233452825833055,0.0030448683704278334,0.0030449043704277035,0.002692443372151798,0.001878664578517819
5,5,uniform_random_distribution,1.0,0.075,6.896686826306237,6.896221809331077,0.0,0.001277166939276153,0.0,0.0
5,5,uniform_random_distribution,1.0,0.075,6.597439502537902,6.595741403889293,0.0013311751710431974,0.0,0.004794595298132753,0.0
5,5,uniform_random_distribution,1.0,0.075,6.772509159104031,6.769923838764321,0.0011668491276592974,0.0011669091276591548,0.0008793748564179804,0.0
5,5,uniform_random_distribution,1.0,0.075,5.971699910258077,5.975273066074206,0.0038199268483287696,0.0008263996251343109,0.0007150327195806216,0.0007251541288667562
5,5,uniform_random_distribution,1.0,0.075,6.4044727251052,6.402261256584314,0.001529089294599606,0.002156289294599656,0.0011223119100887136,0.0014136790170602431
5,5,uniform_random_distribution,1.0,0.075,7.185508749974617,7.183211083346206,0.002260734258200614,0.0010405252938450182,0.0,0.0
5,5,uniform_random_distribution,1.0,0.075,6.494154984008917,6.496169524560513,0.0,0.0027182522158532008,0.00311915291919862,0.0023755686144711907
5,5,uniform_random_distribution,1.0,0.075,6.642422778290344,6.639755696633175,0.0,0.0007718768661577613,0.0,2.0724792761273036e-05
5,5,uniform_random_distribution,1.0,0.075,6.533962217569058,6.531594848113746,0.0023713379814813695,0.001469422800885467,0.0002583390223442894,0.0011672334997150369
5,5,uniform_random_distribution,1.0,0.075,5.759937115686605,5.762395746204537,0.0012038651798220723,0.001282848589418295,0.0014053009972636588,0.0014052609972637908
5,5,uniform_random_distribution,1.0,0.075,6.486808832903099,6.490734007000873,0.001082535893189629,7.715692108223315e-06,9.349033761174574e-05,0.002332721133950777
5,5,uniform_random_distribution,1.0,0.075,6.751278184835409,6.753248038776382,0.0015279167352784118,0.0015279587352785562,0.0015279235018130777,0.0015278615018130548
