num_consumers,num_goods,type_market,noise_factor,target_eps,final_epsilon,total_num_samples,total_pruned_0,total_pruned_1,total_pruned_2
5,5,uniform_random_distribution,2.0,0.2,0.15104971221961536,338420,11,7,2
5,5,uniform_random_distribution,2.0,0.2,0.15408368663899324,702001,4,5,1
5,5,uniform_random_distribution,2.0,0.2,0.1517356315194633,422323,10,5,3
5,5,uniform_random_distribution,2.0,0.2,0.1517356315194633,344010,18,0,0
5,5,uniform_random_distribution,2.0,0.2,0.15434132250333354,735561,6,1,2
5,5,uniform_random_distribution,2.0,0.2,0.1517356315194633,405542,11,5,2
5,5,uniform_random_distribution,2.0,0.2,0.15237714124404972,500632,10,2,4
5,5,uniform_random_distribution,2.0,0.2,0.1535471249943011,618097,7,4,1
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,591650,14,3,3
5,5,uniform_random_distribution,2.0,0.15,0.11428572920249264,820351,13,1,2
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,512101,16,4,0
5,5,uniform_random_distribution,2.0,0.15,0.11495345159128423,1019223,9,3,1
5,5,uniform_random_distribution,2.0,0.15,0.11516323907674855,1098771,9,1,2
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,591651,12,6,2
5,5,uniform_random_distribution,2.0,0.15,0.11380458481255143,631423,16,2,0
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,472325,20,0,0
5,5,uniform_random_distribution,2.0,0.15,0.11536721016786475,1158433,7,3,1
5,5,uniform_random_distribution,2.0,0.15,0.1147375163071748,1009281,6,6,2
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,531987,18,0,2
5,5,uniform_random_distribution,2.0,0.15,0.11380458481255143,671197,16,0,2
5,5,uniform_random_distribution,2.0,0.15,0.11329013240376373,472325,20,0,0
5,5,uniform_random_distribution,2.0,0.15,0.1147375163071748,909843,12,2,0
5,5,uniform_random_distribution,2.0,0.15,0.11428572920249264,870071,8,6,2
5,5,uniform_random_distribution,2.0,0.1,0.07619027329308588,1689174,16,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07603249177842444,1622055,13,4,0
5,5,uniform_random_distribution,2.0,0.1,0.07634316873060386,1845785,15,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1062730,20,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1152222,16,4,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1062730,20,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07586951126252559,1375952,18,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07586951126252559,1532563,15,1,2
5,5,uniform_random_distribution,2.0,0.1,0.07603249177842444,1599682,16,0,1
5,5,uniform_random_distribution,2.0,0.1,0.07619027329308588,1711547,15,1,0
5,5,uniform_random_distribution,2.0,0.1,0.07619027329308588,1689174,16,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1107476,18,2,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1062730,20,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1062730,20,0,0
5,5,uniform_random_distribution,2.0,0.1,0.07552654394809936,1062730,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03793507355269025,5503688,18,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03793507355269025,6040632,16,0,2
5,5,uniform_random_distribution,2.0,0.05,0.038095455912082424,7114519,14,1,1
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4429802,18,2,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4519293,17,3,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.038095455912082424,6935538,14,2,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4250820,20,0,0
5,5,uniform_random_distribution,2.0,0.05,0.03776358845831672,4787764,18,0,2
5,5,uniform_random_distribution,4.0,0.2,0.15408748150770207,940218,6,3,1
5,5,uniform_random_distribution,4.0,0.2,0.15173936855881265,498664,14,4,0
5,5,uniform_random_distribution,4.0,0.2,0.15173936855881265,491051,15,3,0
5,5,uniform_random_distribution,4.0,0.2,0.15298327658005756,734667,9,4,1
