num_consumers,num_goods,type_market,noise_scale,eps,gt_welfare,emp_welfare,max_regret_low_prices_first,max_regret_high_prices_first,max_regret_low_prices_second,max_regret_high_prices_second
5,5,uniform_random_distribution,1.0,0.1,6.240451829385972,6.237271808713398,0.003915658585242676,0.003287378130232499,0.000579114446371154,0.0009516764571698699
5,5,uniform_random_distribution,1.0,0.1,6.854655530584493,6.859464982196411,0.0,0.0,0.0,0.0
5,5,uniform_random_distribution,1.0,0.1,6.560344261734168,6.560054615634481,0.0,0.002188487145417639,0.0,0.002880074934754173
5,5,uniform_random_distribution,1.0,0.1,6.619038668508081,6.624030416021158,0.0014679130911454674,0.0014679030911455282,0.00396039488637645,0.003960384886376511
5,5,uniform_random_distribution,1.0,0.1,6.178614745705439,6.181148266631456,8.975192658478015e-05,0.0028764306164658082,0.0011692426885709928,0.0025193702009876917
5,5,uniform_random_distribution,1.0,0.1,6.646639190145243,6.649582810085443,0.004100161138804959,0.0041001651388049565,0.0013170952744643305,0.0025097432365164263
5,5,uniform_random_distribution,1.0,0.1,6.274345855137744,6.2729937718354565,0.0011258721627893653,0.0,0.0010441747898330966,0.001044144789833057
5,5,uniform_random_distribution,1.0,0.1,6.0252677751502866,6.029474058373507,0.0010530851894503535,0.0,0.0009424928033614499,0.0007949633561236125
5,5,uniform_random_distribution,1.0,0.1,5.792723720673063,5.790833626662522,0.0018347052161653554,0.0018347052161654664,0.0,0.0
5,5,uniform_random_distribution,1.0,0.1,6.2223283823725275,6.22630296041633,0.004817182714423107,0.0011645148160153163,0.00020100747778606376,0.0016603587294886646
5,5,uniform_random_distribution,1.0,0.1,6.530654026229447,6.530114413152915,0.0023231541703297998,0.0016106816912410116,0.0004136311551989902,0.0010750821923044551
5,5,uniform_random_distribution,1.0,0.1,6.592010321004504,6.597967211178959,0.0002946312384732863,0.004036938773384735,0.0026736381497713957,0.0026736681497713244
5,5,uniform_random_distribution,1.0,0.1,6.316946389532746,6.319102415134017,0.004132170085350939,0.0015194383267880252,0.0015391635293713346,0.0015391685293715263
5,5,uniform_random_distribution,1.0,0.1,6.185941507642636,6.18431756562866,0.0,0.006369680599024208,0.0021193520318134595,0.0021193520318134595
5,5,uniform_random_distribution,1.0,0.1,6.886516039497188,6.886145127863291,0.003486470995245572,0.0034864009952455532,0.0,0.0024149532926265316
5,5,uniform_random_distribution,1.0,0.1,6.211123263307771,6.2169291903029125,0.0,0.000620554860696787,0.004580570275661167,0.004580590275661045
5,5,uniform_random_distribution,1.0,0.1,6.454952273779468,6.456569169168479,0.0031563295057004392,0.0031563285057005785,0.0014949846443956805,0.001429807219313961
5,5,uniform_random_distribution,1.0,0.1,5.946062686749821,5.9477759260081795,0.0016159954118781794,0.0,0.0002748054239702924,0.0003913932897896544
5,5,uniform_random_distribution,1.0,0.1,6.44570431972687,6.439967715039686,0.0030439661351810976,0.0030439561351812694,0.0019559148191993225,0.0
5,5,uniform_random_distribution,1.0,0.1,6.132366130855871,6.130742885051293,0.0013394657815197775,0.0013394557815198382,0.0008915237397955078,0.0006478248595824798
5,5,uniform_random_distribution,1.0,0.075,6.907969241787634,6.909009442333522,0.0005046802010930662,0.0,0.0014563984262061513,0.0010053252991182315
5,5,uniform_random_distribution,1.0,0.075,6.211858419460848,6.21304160060833,0.0026438108552173656,0.002643870855217445,0.003069007386481637,0.003069007386481637
5,5,uniform_random_distribution,1.0,0.075,6.636610934763804,6.635742077724067,0.0023311852255929466,0.0020524049368069175,0.0,0.002419529981524171
5,5,uniform_random_distribution,1.0,0.075,6.765144434270874,6.764416038903326,0.0010999781112568385,0.0,0.0,0.0011567967761187958
5,5,uniform_random_distribution,1.0,0.075,6.5509223556175735,6.5505758307639335,0.00040622121130606814,0.0001562211137851044,0.0015755354574371605,0.001575541857437246
5,5,uniform_random_distribution,1.0,0.075,6.94965256559191,6.948791184652581,0.0006390083582921147,0.0015550309246279426,0.0008986973576692314,0.0008986583576691132
5,5,uniform_random_distribution,1.0,0.075,5.863369001665939,5.864491553248219,0.0,0.0016885411520188853,0.0012972934208599352,0.0
5,5,uniform_random_distribution,1.0,0.075,6.31490912732699,6.313274209640637,0.0028334555306166465,0.00046224694311869374,0.0,0.0008833466515822952
5,5,uniform_random_distribution,1.0,0.075,6.25990994975235,6.256698632203182,0.0,0.0,0.0034317959613521243,0.002990068104746113
5,5,uniform_random_distribution,1.0,0.075,6.270734788001285,6.275256086949255,0.0,0.0,0.0020783241955262266,0.004120845348358992
5,5,uniform_random_distribution,1.0,0.075,6.526604616214925,6.527407979028926,0.0003418748083567902,0.00034189480835677966,0.0015101979845941749,0.0
5,5,uniform_random_distribution,1.0,0.075,6.522732171673529,6.523828336887274,1.6895642566572278e-05,4.1498373618997775e-05,0.0,0.002901303358688656
5,5,uniform_random_distribution,1.0,0.075,6.625960052485852,6.626292071438116,0.0008170733430856725,0.0007519887103599743,0.0,0.0010199678143334445
5,5,uniform_random_distribution,1.0,0.075,6.21051659273785,6.210480544032327,0.0012153939073884512,0.0018702303704127843,0.0021210849382689023,0.0
5,5,uniform_random_distribution,1.0,0.075,6.446617518859289,6.441528808534916,0.002518632963062206,0.0025185769630622357,0.000773329093772368,0.000773347093772303
5,5,uniform_random_distribution,1.0,0.075,5.915057096680959,5.9155420890598,0.0008193383564562007,0.0,0.0036780043273583196,0.003678035327358331
5,5,uniform_random_distribution,1.0,0.075,6.004744382133179,6.004385537126257,0.0003102226460718338,0.001764087738476583,0.0008805886548854946,0.0008805486548855157
