num_consumers,num_goods,type_market,noise_scale,target_eps,final_epsilon,total_num_samples,total_pruned_0,total_pruned_1,total_pruned_2
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1298766,18,0,2
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1250214,16,4,0
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1153110,20,0,0
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1347318,16,2,2
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1225938,17,3,0
5,5,uniform_random_distribution,2.5,0.1,0.07586991548717216,1662906,15,1,2
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1153110,20,0,0
5,5,uniform_random_distribution,2.5,0.1,0.07586991548717216,1492974,18,0,0
5,5,uniform_random_distribution,2.5,0.1,0.0766358286140646,2488290,9,3,1
5,5,uniform_random_distribution,2.5,0.1,0.07649187139315768,2245530,11,3,0
5,5,uniform_random_distribution,2.5,0.1,0.07649187139315768,2172702,14,0,0
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1153110,20,0,0
5,5,uniform_random_distribution,2.5,0.1,0.07552694634545275,1420146,15,2,3
5,5,uniform_random_distribution,2.5,0.1,0.07634357547884679,2075598,14,0,1
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.057024562543831044,3085772,16,0,1
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2654196,18,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2654196,18,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2179464,17,3,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2654196,18,0,0
5,5,uniform_random_distribution,2.5,0.075,0.057024562543831044,3085773,14,3,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2740512,16,2,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.057024562543831044,2956299,17,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2740512,16,2,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2049990,20,0,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2783670,15,3,0
5,5,uniform_random_distribution,2.5,0.075,0.05664510038207041,2136306,18,2,0
5,5,uniform_random_distribution,2.5,0.075,0.05690232674167708,2913144,12,6,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03793505540975906,5971875,18,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,5195047,18,0,2
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03793505540975906,5971875,18,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
5,5,uniform_random_distribution,2.5,0.05,0.03776357039740046,4612425,20,0,0
